mal_id,title_english,type,source,episodes,duration,rating,score,scored_by,rank,popularity,members,favorites,year,demographics,studios,genres,themes
86,Mobile Suit Gundam ZZ,TV,Original,47,24,PG-13 - Teens 13 or older,6.77,26289,6504,3542,51802,227,1986,[],['Sunrise'],"['Comedy', 'Drama', 'Sci-Fi']","['Mecha', 'Military', 'Space']"
87,Mobile Suit Gundam: Char's Counterattack,Movie,Novel,1,119,PG-13 - Teens 13 or older,7.73,35581,1375,3267,59638,618,,[],['Sunrise'],"['Drama', 'Sci-Fi']","['Mecha', 'Military', 'Space']"
88,Mobile Suit Gundam F91,Movie,Original,1,120,PG-13 - Teens 13 or older,6.61,20653,7505,4193,38127,91,,[],['Sunrise'],"['Drama', 'Sci-Fi']","['Mecha', 'Military', 'Space']"
89,Mobile Suit Victory Gundam,TV,Original,51,24,PG-13 - Teens 13 or older,6.83,13265,6108,4509,32604,177,1993,[],['Sunrise'],"['Drama', 'Sci-Fi']","['Mecha', 'Military', 'Space']"
90,Mobile Suit Gundam Wing,TV,Original,49,24,PG-13 - Teens 13 or older,7.67,95273,1573,1610,171986,2481,1995,[],['Sunrise'],"['Drama', 'Sci-Fi']","['Mecha', 'Military', 'Space']"
91,Mobile Suit Gundam Wing: Endless Waltz,OVA,Original,3,30,PG-13 - Teens 13 or older,7.77,29591,1275,3529,52102,182,,[],['Sunrise'],"['Award Winning', 'Drama', 'Sci-Fi']","['Mecha', 'Military', 'Space']"
92,After War Gundam X,TV,Original,39,24,PG-13 - Teens 13 or older,7.44,18134,2540,4043,40883,249,1996,[],['Sunrise'],"['Adventure', 'Drama', 'Sci-Fi']","['Mecha', 'Space']"
93,Mobile Suit Gundam SEED,TV,Original,50,24,R - 17+ (violence & profanity),7.74,102541,1334,1497,185797,3752,2002,[],['Sunrise'],"['Award Winning', 'Drama', 'Romance', 'Sci-Fi']","['Mecha', 'Military', 'Space']"
94,Mobile Suit Gundam SEED Destiny,TV,Original,50,24,R - 17+ (violence & profanity),7.17,69847,4168,2156,117313,1161,2004,[],['Sunrise'],"['Drama', 'Romance', 'Sci-Fi']","['Mecha', 'Military', 'Space']"
95,∀ Gundam,TV,Original,50,24,PG-13 - Teens 13 or older,7.88,19980,1001,3379,56169,1273,1999,[],['Sunrise'],"['Adventure', 'Award Winning', 'Drama', 'Romance', 'Sci-Fi']","['Mecha', 'Military', 'Space']"
96,Mobile Fighter G Gundam,TV,Original,49,24,PG-13 - Teens 13 or older,7.63,40595,1708,2844,76002,1144,1994,[],['Sunrise'],"['Drama', 'Romance', 'Sci-Fi']","['Mecha', 'Space']"
97,Last Exile,TV,Original,26,24,PG-13 - Teens 13 or older,7.79,74455,1215,1478,188674,1955,2003,[],['Gonzo'],"['Action', 'Adventure', 'Sci-Fi']",[]
98,My-Hime,TV,Original,26,23,PG-13 - Teens 13 or older,7.42,53903,2638,2089,122469,1155,2004,[],['Sunrise'],"['Action', 'Girls Love']","['Mahou Shoujo', 'School']"
99,My-Otome,TV,Original,26,23,PG-13 - Teens 13 or older,7.32,26636,3187,3443,54627,314,2005,[],['Sunrise'],"['Comedy', 'Drama', 'Fantasy']",[]
100,Prétear: The New Legend of Snow White,TV,Manga,13,23,PG-13 - Teens 13 or older,7.19,30685,4059,3008,69379,467,2001,['Shoujo'],['HAL Film Maker'],"['Drama', 'Romance']","['Mahou Shoujo', 'Reverse Harem']"
101,Air,TV,Visual novel,12,24,PG-13 - Teens 13 or older,7.28,159406,3402,903,313455,2788,2005,[],['Kyoto Animation'],"['Drama', 'Romance', 'Supernatural']",[]
102,"Babe, My Love",TV,Manga,26,25,PG-13 - Teens 13 or older,7.45,55531,2475,2277,107913,565,2004,['Shoujo'],['TMS Entertainment'],"['Comedy', 'Drama', 'Romance']",['Childcare']
103,Red Riding Hood Chacha,TV,Manga,74,24,G - All Ages,7.57,6544,1917,5731,18233,116,1994,['Shoujo'],['Gallop'],"['Adventure', 'Comedy', 'Romance']",['Mahou Shoujo']
104,"Ceres, Celestial Legend",TV,Manga,24,21,R - 17+ (violence & profanity),7.19,28921,4022,3070,66792,498,2000,['Shoujo'],['Studio Pierrot'],"['Adventure', 'Drama', 'Horror', 'Romance', 'Supernatural']","['Psychological', 'Reincarnation']"
105,Boys Be...,TV,Manga,13,23,PG-13 - Teens 13 or older,6.47,10269,8332,4987,25874,49,2000,['Shounen'],['HAL Film Maker'],"['Comedy', 'Romance']",['School']
106,Hana Yori Dango,TV,Manga,51,24,PG-13 - Teens 13 or older,7.61,27458,1771,3054,67671,843,1996,['Shoujo'],['Toei Animation'],"['Drama', 'Romance']","['Love Polygon', 'School']"
